"label","weight","calories","protein","carbohydrates","fats","fiber","sugars","sodium","chinese_name","food_category","food_source"
"hamburger",200,500,27,40,24,3,7,600,"汉堡包","快餐","混合/其他"
"hamburger",250,625,33,50,30,4,8,750,"汉堡包","快餐","混合/其他"
"hamburger",300,750,40,60,36,5,10,900,"汉堡包","快餐","混合/其他"
"hamburger",350,875,47,70,42,6,12,1050,"汉堡包","快餐","混合/其他"
"Hot and Sour Soup",200,150,8,15,5,2,3,600,"酸辣汤","汤/饮品","混合/其他"
"Hot and Sour Soup",250,188,10,19,6,3,4,750,"酸辣汤","汤/饮品","混合/其他"
"Hot and Sour Soup",300,225,12,23,8,4,5,900,"酸辣汤","汤/饮品","混合/其他"
"Hot and Sour Soup",350,263,14,26,9,5,6,1050,"酸辣汤","汤/饮品","混合/其他"
"Hot and Sour Soup",400,300,16,30,10,6,7,1200,"酸辣汤","汤/饮品","混合/其他"
"hot_dog",100,250,10,15,15,1,3,500,"热狗","快餐","混合/其他"
"hot_dog",150,375,15,23,23,2,5,750,"热狗","快餐","混合/其他"
"hot_dog",200,500,20,30,30,3,6,1000,"热狗","快餐","混合/其他"
"hot_dog",250,625,25,38,38,4,8,1250,"热狗","快餐","混合/其他"
"hot_dog",300,750,30,45,45,5,9,1500,"热狗","快餐","混合/其他"
"huevos_rancheros",200,300,15,20,15,4,3,400,"墨西哥牧场蛋","快餐","混合/其他"
"huevos_rancheros",250,375,19,25,19,5,4,500,"墨西哥牧场蛋","快餐","混合/其他"
"huevos_rancheros",300,450,23,30,23,6,5,600,"墨西哥牧场蛋","快餐","混合/其他"
"huevos_rancheros",350,525,26,35,26,7,6,700,"墨西哥牧场蛋","快餐","混合/其他"
"huevos_rancheros",400,600,30,40,30,8,7,800,"墨西哥牧场蛋","快餐","混合/其他"
"hummus",50,100,4,8,6,3,1,100,"中东鹰嘴豆泥","蔬果/素食","植物性"
"hummus",70,140,6,11,8,4,1,140,"中东鹰嘴豆泥","蔬果/素食","植物性"
"hummus",100,200,8,16,12,6,2,200,"中东鹰嘴豆泥","蔬果/素食","植物性"
"hummus",120,240,10,19,14,7,2,240,"中东鹰嘴豆泥","蔬果/素食","植物性"
"hummus",150,300,12,24,18,9,3,300,"中东鹰嘴豆泥","蔬果/素食","植物性"
"ice_cream",100,200,4,25,10,0,20,50,"冰淇淋","甜点","混合/其他"
"ice_cream",150,300,6,38,15,0,30,75,"冰淇淋","甜点","混合/其他"
"ice_cream",200,400,8,50,20,0,40,100,"冰淇淋","甜点","混合/其他"
"ice_cream",250,500,10,63,25,0,50,125,"冰淇淋","甜点","混合/其他"
"ice_cream",300,600,12,75,30,0,60,150,"冰淇淋","甜点","混合/其他"
"lasagna",200,400,20,40,20,4,6,600,"意式千层面","快餐","混合/其他"
"lasagna",250,500,25,50,25,5,8,750,"意式千层面","快餐","混合/其他"
"lasagna",300,600,30,60,30,6,10,900,"意式千层面","快餐","混合/其他"
"lasagna",350,700,35,70,35,7,12,1050,"意式千层面","快餐","混合/其他"
"lasagna",400,800,40,80,40,8,14,1200,"意式千层面","快餐","混合/其他"
"lobster_bisque",200,250,10,15,15,2,5,500,"龙虾浓汤","海鲜","动物性"
"lobster_bisque",250,313,13,19,19,3,6,625,"龙虾浓汤","海鲜","动物性"
"lobster_bisque",300,375,15,23,23,4,8,750,"龙虾浓汤","海鲜","动物性"
"lobster_bisque",350,438,18,26,26,5,9,875,"龙虾浓汤","海鲜","动物性"
"lobster_bisque",400,500,20,30,30,6,10,1000,"龙虾浓汤","海鲜","动物性"
"Lobster Roll",200,400,20,30,20,2,5,600,"龙虾卷","海鲜","动物性"
"Lobster Roll",250,500,25,38,25,3,6,750,"龙虾卷","海鲜","动物性"
"Lobster Roll",300,600,30,45,30,4,8,900,"龙虾卷","海鲜","动物性"
"Lobster Roll",350,700,35,53,35,5,9,1050,"龙虾卷","海鲜","动物性"
"Lobster Roll",400,800,40,60,40,6,10,1200,"龙虾卷","海鲜","动物性"
"Macaroni and Cheese",200,400,12,50,18,2,6,600,"奶酪通心粉","快餐","混合/其他"
"Macaroni and Cheese",250,500,15,63,23,3,8,750,"奶酪通心粉","快餐","混合/其他"
"Macaroni and Cheese",300,600,18,75,27,4,10,900,"奶酪通心粉","快餐","混合/其他"
"Macaroni and Cheese",350,700,21,88,32,5,12,1050,"奶酪通心粉","快餐","混合/其他"
"Macaroni and Cheese",400,800,24,100,36,6,14,1200,"奶酪通心粉","快餐","混合/其他"
"macarons",50,200,3,25,10,1,20,50,"马卡龙","甜点","混合/其他"
"macarons",70,280,4,35,14,1,28,70,"马卡龙","甜点","混合/其他"
"macarons",100,400,6,50,20,2,40,100,"马卡龙","甜点","混合/其他"
"macarons",120,480,7,60,24,2,48,120,"马卡龙","甜点","混合/其他"
"macarons",150,600,9,75,30,3,60,150,"马卡龙","甜点","混合/其他"
"miso_soup",200,100,6,10,3,2,2,800,"味噌汤","汤/饮品","混合/其他"
"miso_soup",250,125,8,13,4,3,3,1000,"味噌汤","汤/饮品","混合/其他"
"miso_soup",300,150,9,15,5,4,4,1200,"味噌汤","汤/饮品","混合/其他"
"miso_soup",350,175,11,18,6,5,5,1400,"味噌汤","汤/饮品","混合/其他"
"miso_soup",400,200,12,20,7,6,6,1600,"味噌汤","汤/饮品","混合/其他"
"mussels",150,200,25,5,8,0,1,400,"贻贝","海鲜","动物性"
"mussels",200,267,33,7,11,0,1,533,"贻贝","海鲜","动物性"
"mussels",250,333,42,8,13,0,2,667,"贻贝","海鲜","动物性"
"mussels",300,400,50,10,16,0,2,800,"贻贝","海鲜","动物性"
"mussels",350,467,58,12,19,0,3,933,"贻贝","海鲜","动物性"
"nachos",200,500,10,50,25,4,5,600,"墨西哥玉米片","快餐","混合/其他"
"nachos",250,625,13,63,31,5,6,750,"墨西哥玉米片","快餐","混合/其他"
"nachos",300,750,15,75,38,6,8,900,"墨西哥玉米片","快餐","混合/其他"
"nachos",350,875,18,88,44,7,9,1050,"墨西哥玉米片","快餐","混合/其他"
"nachos",400,1000,20,100,50,8,10,1200,"墨西哥玉米片","快餐","混合/其他"
"omelette",150,250,15,2,18,0,1,300,"煎蛋卷","快餐","混合/其他"
"omelette",200,333,20,3,24,0,1,400,"煎蛋卷","快餐","混合/其他"
"omelette",250,417,25,4,30,0,2,500,"煎蛋卷","快餐","混合/其他"
"omelette",300,500,30,5,36,0,2,600,"煎蛋卷","快餐","混合/其他"
"omelette",350,583,35,6,42,0,3,700,"煎蛋卷","快餐","混合/其他"
"onion_rings",100,300,4,35,15,2,5,200,"洋葱圈","快餐","混合/其他"
"onion_rings",150,450,6,53,23,3,8,300,"洋葱圈","快餐","混合/其他"
"onion_rings",200,600,8,70,30,4,10,400,"洋葱圈","快餐","混合/其他"
"onion_rings",250,750,10,88,38,5,13,500,"洋葱圈","快餐","混合/其他"
"onion_rings",300,900,12,105,45,6,15,600,"洋葱圈","快餐","混合/其他"
"oysters",100,100,10,5,3,0,1,200,"生蚝","海鲜","动物性"
"oysters",150,150,15,8,5,0,2,300,"生蚝","海鲜","动物性"
"oysters",200,200,20,10,6,0,2,400,"生蚝","海鲜","动物性"
"oysters",250,250,25,13,8,0,3,500,"生蚝","海鲜","动物性"
"oysters",300,300,30,15,10,0,4,600,"生蚝","海鲜","动物性"
"pad_thai",200,400,15,60,12,4,10,600,"泰式炒河粉","快餐","混合/其他"
"pad_thai",250,500,19,75,15,5,13,750,"泰式炒河粉","快餐","混合/其他"
"pad_thai",300,600,23,90,18,6,15,900,"泰式炒河粉","快餐","混合/其他"
"pad_thai",350,700,26,105,21,7,18,1050,"泰式炒河粉","快餐","混合/其他"
"pad_thai",400,800,30,120,24,8,20,1200,"泰式炒河粉","快餐","混合/其他"
"paella",200,350,20,40,10,3,5,500,"西班牙海鲜饭","快餐","混合/其他"
"paella",250,438,25,50,13,4,6,625,"西班牙海鲜饭","快餐","混合/其他"
"paella",300,525,30,60,15,5,8,750,"西班牙海鲜饭","快餐","混合/其他"
"paella",350,613,35,70,18,6,9,875,"西班牙海鲜饭","快餐","混合/其他"
"paella",400,700,40,80,20,7,10,1000,"西班牙海鲜饭","快餐","混合/其他"
"pancakes",100,250,6,35,8,2,10,300,"煎饼","快餐","混合/其他"
"pancakes",150,375,9,53,12,3,15,450,"煎饼","快餐","混合/其他"
"pancakes",200,500,12,70,16,4,20,600,"煎饼","快餐","混合/其他"
"pancakes",250,625,15,88,20,5,25,750,"煎饼","快餐","混合/其他"
"pancakes",300,750,18,105,24,6,30,900,"煎饼","快餐","混合/其他"
"panna_cotta",100,300,5,25,20,0,20,50,"意式奶冻","甜点","混合/其他"
"panna_cotta",150,450,8,38,30,0,30,75,"意式奶冻","甜点","混合/其他"
"panna_cotta",200,600,10,50,40,0,40,100,"意式奶冻","甜点","混合/其他"
"panna_cotta",250,750,13,63,50,0,50,125,"意式奶冻","甜点","混合/其他"
"panna_cotta",300,900,15,75,60,0,60,150,"意式奶冻","甜点","混合/其他"
"peking_duck",150,400,30,10,25,0,5,500,"北京烤鸭","肉类","动物性"
"peking_duck",200,533,40,13,33,0,7,667,"北京烤鸭","肉类","动物性"
"peking_duck",250,667,50,17,42,0,8,833,"北京烤鸭","肉类","动物性"
"peking_duck",300,800,60,20,50,0,10,1000,"北京烤鸭","肉类","动物性"
"peking_duck",350,933,70,23,58,0,12,1167,"北京烤鸭","肉类","动物性"
"pho",300,350,20,50,8,3,5,800,"越南河粉","快餐","混合/其他"
"pho",350,408,23,58,9,4,6,933,"越南河粉","快餐","混合/其他"
"pho",400,467,27,67,10,5,7,1067,"越南河粉","快餐","混合/其他"
"pho",450,525,30,75,11,6,8,1200,"越南河粉","快餐","混合/其他"
"pho",500,583,33,83,12,7,9,1333,"越南河粉","快餐","混合/其他"
"pizza",200,500,20,60,20,4,5,800,"披萨","快餐","混合/其他"
"pizza",250,625,25,75,25,5,6,1000,"披萨","快餐","混合/其他"
"pizza",300,750,30,90,30,6,8,1200,"披萨","快餐","混合/其他"
"pizza",350,875,35,105,35,7,9,1400,"披萨","快餐","混合/其他"
"pizza",400,1000,40,120,40,8,10,1600,"披萨","快餐","混合/其他"
"pork_chop",150,350,30,0,22,0,0,400,"猪排","肉类","动物性"
"pork_chop",200,467,40,0,29,0,0,533,"猪排","肉类","动物性"
"pork_chop",250,583,50,0,36,0,0,667,"猪排","肉类","动物性"
"pork_chop",300,700,60,0,43,0,0,800,"猪排","肉类","动物性"
"pork_chop",350,817,70,0,50,0,0,933,"猪排","肉类","动物性"
"poutine",200,500,10,50,25,3,2,600,"加拿大肉汁奶酪薯条","快餐","混合/其他"
"poutine",250,625,13,63,31,4,3,750,"加拿大肉汁奶酪薯条","快餐","混合/其他"
"poutine",300,750,15,75,38,5,4,900,"加拿大肉汁奶酪薯条","快餐","混合/其他"
"poutine",350,875,18,88,44,6,5,1050,"加拿大肉汁奶酪薯条","快餐","混合/其他"
"poutine",400,1000,20,100,50,7,6,1200,"加拿大肉汁奶酪薯条","快餐","混合/其他"
"prime_rib",200,600,40,0,45,0,0,500,"特级肋排","肉类","动物性"
"prime_rib",250,750,50,0,56,0,0,625,"特级肋排","肉类","动物性"
"prime_rib",300,900,60,0,68,0,0,750,"特级肋排","肉类","动物性"
"prime_rib",350,1050,70,0,79,0,0,875,"特级肋排","肉类","动物性"
"prime_rib",400,1200,80,0,90,0,0,1000,"特级肋排","肉类","动物性"
"pulled_pork_sandwich",200,400,20,40,15,3,10,600,"手撕猪肉三明治","快餐","混合/其他"
"pulled_pork_sandwich",250,500,25,50,19,4,13,750,"手撕猪肉三明治","快餐","混合/其他"
"pulled_pork_sandwich",300,600,30,60,23,5,15,900,"手撕猪肉三明治","快餐","混合/其他"
"pulled_pork_sandwich",350,700,35,70,27,6,18,1050,"手撕猪肉三明治","快餐","混合/其他"
"pulled_pork_sandwich",400,800,40,80,30,7,20,1200,"手撕猪肉三明治","快餐","混合/其他"
"ramen",300,400,15,60,10,4,5,800,"日式拉面","快餐","混合/其他"
"ramen",350,467,18,70,12,5,6,933,"日式拉面","快餐","混合/其他"
"ramen",400,533,20,80,13,6,7,1067,"日式拉面","快餐","混合/其他"
"ramen",450,600,23,90,15,7,8,1200,"日式拉面","快餐","混合/其他"
"ramen",500,667,25,100,17,8,9,1333,"日式拉面","快餐","混合/其他"
"ravioli",200,300,12,40,10,3,4,500,"意式饺子","快餐","混合/其他"
"ravioli",250,375,15,50,13,4,5,625,"意式饺子","快餐","混合/其他"
"ravioli",300,450,18,60,15,5,6,750,"意式饺子","快餐","混合/其他"
"ravioli",350,525,21,70,18,6,7,875,"意式饺子","快餐","混合/其他"
"ravioli",400,600,24,80,20,7,8,1000,"意式饺子","快餐","混合/其他"
"red_velvet_cake",100,350,5,45,18,2,30,300,"红丝绒蛋糕","甜点","混合/其他"
"red_velvet_cake",150,525,8,68,27,3,45,450,"红丝绒蛋糕","甜点","混合/其他"
"red_velvet_cake",200,700,10,90,36,4,60,600,"红丝绒蛋糕","甜点","混合/其他"
"red_velvet_cake",250,875,13,113,45,5,75,750,"红丝绒蛋糕","甜点","混合/其他"
"red_velvet_cake",300,1050,15,135,54,6,90,900,"红丝绒蛋糕","甜点","混合/其他"
"risotto",200,300,8,50,8,2,3,400,"意式烩饭","快餐","混合/其他"
"risotto",250,375,10,63,10,3,4,500,"意式烩饭","快餐","混合/其他"
"risotto",300,450,12,75,12,4,5,600,"意式烩饭","快餐","混合/其他"
"risotto",350,525,14,88,14,5,6,700,"意式烩饭","快餐","混合/其他"
"risotto",400,600,16,100,16,6,7,800,"意式烩饭","快餐","混合/其他"
"samosa",50,150,3,20,6,2,2,200,"印度三角饺","蔬果/素食","植物性"
"samosa",70,210,4,28,8,3,3,280,"印度三角饺","蔬果/素食","植物性"
"samosa",100,300,6,40,12,4,4,400,"印度三角饺","蔬果/素食","植物性"
"samosa",120,360,7,48,14,5,5,480,"印度三角饺","蔬果/素食","植物性"
"samosa",150,450,9,60,18,6,6,600,"印度三角饺","蔬果/素食","植物性"
"sashimi",100,150,25,0,5,0,0,100,"生鱼片","海鲜","动物性"
"sashimi",150,225,38,0,8,0,0,150,"生鱼片","海鲜","动物性"
"sashimi",200,300,50,0,10,0,0,200,"生鱼片","海鲜","动物性"
"sashimi",250,375,63,0,13,0,0,250,"生鱼片","海鲜","动物性"
"sashimi",300,450,75,0,15,0,0,300,"生鱼片","海鲜","动物性"
"scallops",100,120,20,2,3,0,0,200,"扇贝","海鲜","动物性"
"scallops",150,180,30,3,5,0,0,300,"扇贝","海鲜","动物性"
"scallops",200,240,40,4,6,0,0,400,"扇贝","海鲜","动物性"
"scallops",250,300,50,5,8,0,0,500,"扇贝","海鲜","动物性"
"scallops",300,360,60,6,9,0,0,600,"扇贝","海鲜","动物性"
"seaweed_salad",100,50,2,8,1,3,2,300,"海藻沙拉","蔬果/素食","植物性"
"seaweed_salad",150,75,3,12,2,5,3,450,"海藻沙拉","蔬果/素食","植物性"
"seaweed_salad",200,100,4,16,3,6,4,600,"海藻沙拉","蔬果/素食","植物性"
"seaweed_salad",250,125,5,20,4,8,5,750,"海藻沙拉","蔬果/素食","植物性"
"seaweed_salad",300,150,6,24,5,9,6,900,"海藻沙拉","蔬果/素食","植物性"
"Shrimp and Grits",200,300,20,30,10,2,3,500,"虾配玉米粥","快餐","混合/其他"
"Shrimp and Grits",250,375,25,38,13,3,4,625,"虾配玉米粥","快餐","混合/其他"
"Shrimp and Grits",300,450,30,45,15,4,5,750,"虾配玉米粥","快餐","混合/其他"
"Shrimp and Grits",350,525,35,53,18,5,6,875,"虾配玉米粥","快餐","混合/其他"
"Shrimp and Grits",400,600,40,60,20,6,7,1000,"虾配玉米粥","快餐","混合/其他"
"spaghetti_bolognese",200,350,15,40,12,3,5,400,"意式肉酱面","快餐","混合/其他"
"spaghetti_bolognese",250,438,19,50,15,4,6,500,"意式肉酱面","快餐","混合/其他"
"spaghetti_bolognese",300,525,23,60,18,5,8,600,"意式肉酱面","快餐","混合/其他"
"spaghetti_bolognese",350,613,26,70,21,6,9,700,"意式肉酱面","快餐","混合/其他"
"spaghetti_bolognese",400,700,30,80,24,7,10,800,"意式肉酱面","快餐","混合/其他"
"spaghetti_carbonara",200,400,15,45,18,2,4,500,"意式培根奶油面","快餐","混合/其他"
"spaghetti_carbonara",250,500,19,56,23,3,5,625,"意式培根奶油面","快餐","混合/其他"
"spaghetti_carbonara",300,600,23,68,27,4,6,750,"意式培根奶油面","快餐","混合/其他"
"spaghetti_carbonara",350,700,26,79,32,5,7,875,"意式培根奶油面","快餐","混合/其他"
"spaghetti_carbonara",400,800,30,90,36,6,8,1000,"意式培根奶油面","快餐","混合/其他"
"spring_rolls",50,100,3,15,4,1,2,150,"春卷","快餐","混合/其他"
"spring_rolls",70,140,4,21,6,1,3,210,"春卷","快餐","混合/其他"
"spring_rolls",100,200,6,30,8,2,4,300,"春卷","快餐","混合/其他"
"spring_rolls",120,240,7,36,10,2,5,360,"春卷","快餐","混合/其他"
"spring_rolls",150,300,9,45,12,3,6,450,"春卷","快餐","混合/其他"
"steak",150,375,35,0,25,0,0,100,"牛排","肉类","动物性"
"steak",200,500,47,0,33,0,0,133,"牛排","肉类","动物性"
"steak",250,625,58,0,42,0,0,167,"牛排","肉类","动物性"
"steak",300,750,70,0,50,0,0,200,"牛排","肉类","动物性"
"steak",350,875,82,0,58,0,0,233,"牛排","肉类","动物性"
"strawberry_shortcake",100,300,4,40,12,2,25,200,"草莓短蛋糕","甜点","混合/其他"
"strawberry_shortcake",150,450,6,60,18,3,38,300,"草莓短蛋糕","甜点","混合/其他"
"strawberry_shortcake",200,600,8,80,24,4,50,400,"草莓短蛋糕","甜点","混合/其他"
"strawberry_shortcake",250,750,10,100,30,5,63,500,"草莓短蛋糕","甜点","混合/其他"
"strawberry_shortcake",300,900,12,120,36,6,75,600,"草莓短蛋糕","甜点","混合/其他"
"sushi",100,200,8,30,2,1,5,300,"寿司","海鲜","动物性"
"sushi",150,300,12,45,3,2,8,450,"寿司","海鲜","动物性"
"sushi",200,400,16,60,4,3,10,600,"寿司","海鲜","动物性"
"sushi",250,500,20,75,5,4,13,750,"寿司","海鲜","动物性"
"sushi",300,600,24,90,6,5,15,900,"寿司","海鲜","动物性"
"tacos",100,250,10,20,12,3,2,300,"墨西哥玉米卷","快餐","混合/其他"
"tacos",150,375,15,30,18,5,3,450,"墨西哥玉米卷","快餐","混合/其他"
"tacos",200,500,20,40,24,6,4,600,"墨西哥玉米卷","快餐","混合/其他"
"tacos",250,625,25,50,30,8,5,750,"墨西哥玉米卷","快餐","混合/其他"
"tacos",300,750,30,60,36,9,6,900,"墨西哥玉米卷","快餐","混合/其他"
"takoyaki",100,200,8,25,8,1,5,300,"章鱼小丸子","快餐","混合/其他"
"takoyaki",150,300,12,38,12,2,8,450,"章鱼小丸子","快餐","混合/其他"
"takoyaki",200,400,16,50,16,3,10,600,"章鱼小丸子","快餐","混合/其他"
"takoyaki",250,500,20,63,20,4,13,750,"章鱼小丸子","快餐","混合/其他"
"takoyaki",300,600,24,75,24,5,15,900,"章鱼小丸子","快餐","混合/其他"
"tiramisu",100,300,6,30,15,1,20,100,"提拉米苏","甜点","混合/其他"
"tiramisu",150,450,9,45,23,2,30,150,"提拉米苏","甜点","混合/其他"
"tiramisu",200,600,12,60,30,3,40,200,"提拉米苏","甜点","混合/其他"
"tiramisu",250,750,15,75,38,4,50,250,"提拉米苏","甜点","混合/其他"
"tiramisu",300,900,18,90,45,5,60,300,"提拉米苏","甜点","混合/其他"
"tuna_tartare",100,150,20,2,5,0,1,200,"金枪鱼塔塔","海鲜","动物性"
"tuna_tartare",150,225,30,3,8,0,2,300,"金枪鱼塔塔","海鲜","动物性"
"tuna_tartare",200,300,40,4,10,0,3,400,"金枪鱼塔塔","海鲜","动物性"
"tuna_tartare",250,375,50,5,13,0,4,500,"金枪鱼塔塔","海鲜","动物性"
"tuna_tartare",300,450,60,6,15,0,5,600,"金枪鱼塔塔","海鲜","动物性"
"waffles",100,300,6,40,12,2,10,300,"华夫饼","快餐","混合/其他"
"waffles",150,450,9,60,18,3,15,450,"华夫饼","快餐","混合/其他"
"waffles",200,600,12,80,24,4,20,600,"华夫饼","快餐","混合/其他"
"waffles",250,750,15,100,30,5,25,750,"华夫饼","快餐","混合/其他"
"waffles",300,900,18,120,36,6,30,900,"华夫饼","快餐","混合/其他"
"apple",100,52,0.3,14,0.2,2.4,10,1,"苹果","蔬果/素食","植物性"
"apple",150,78,0.45,21,0.3,3.6,15,1.5,"苹果","蔬果/素食","植物性"
"apple",200,104,0.6,28,0.4,4.8,20,2,"苹果","蔬果/素食","植物性"
"banana",100,89,1.1,23,0.3,2.6,12,1,"香蕉","蔬果/素食","植物性"
"banana",150,133.5,1.65,34.5,0.45,3.9,18,1.5,"香蕉","蔬果/素食","植物性"
"banana",200,178,2.2,46,0.6,5.2,24,2,"香蕉","蔬果/素食","植物性"
"beef_steak",100,250,26,0,15,0,0,55,"牛排","肉类","动物性"
"beef_steak",150,375,39,0,22.5,0,0,82.5,"牛排","肉类","动物性"
"beef_steak",200,500,52,0,30,0,0,110,"牛排","肉类","动物性"
"beef_steak",250,625,65,0,37.5,0,0,137.5,"牛排","肉类","动物性"
"beef_steak",300,750,78,0,45,0,0,165,"牛排","肉类","动物性"
"broccoli",100,34,2.8,7,0.4,2.6,1.7,33,"西兰花","蔬果/素食","植物性"
"broccoli",150,51,4.2,10.5,0.6,3.9,2.55,49.5,"西兰花","蔬果/素食","植物性"
"broccoli",200,68,5.6,14,0.8,5.2,3.4,66,"西兰花","蔬果/素食","植物性"
"cake",100,350,4,50,15,1,30,200,"蛋糕","甜点","混合/其他"
"cake",150,525,6,75,22.5,1.5,45,300,"蛋糕","甜点","混合/其他"
"cake",200,700,8,100,30,2,60,400,"蛋糕","甜点","混合/其他"
"cake",250,875,10,125,37.5,2.5,75,500,"蛋糕","甜点","混合/其他"
"cake",300,1050,12,150,45,3,90,600,"蛋糕","甜点","混合/其他"
"carrot",100,41,0.9,10,0.2,2.8,4.7,69,"胡萝卜","蔬果/素食","植物性"
"carrot",150,61.5,1.35,15,0.3,4.2,7.05,103.5,"胡萝卜","蔬果/素食","植物性"
"carrot",200,82,1.8,20,0.4,5.6,9.4,138,"胡萝卜","蔬果/素食","植物性"
"chicken_breast",100,165,31,0,3.6,0,0,74,"鸡胸肉","肉类","动物性"
"chicken_breast",150,247.5,46.5,0,5.4,0,0,111,"鸡胸肉","肉类","动物性"
"chicken_breast",200,330,62,0,7.2,0,0,148,"鸡胸肉","肉类","动物性"
"chicken_breast",250,412.5,77.5,0,9,0,0,185,"鸡胸肉","肉类","动物性"
"chicken_breast",300,495,93,0,10.8,0,0,222,"鸡胸肉","肉类","动物性"
"chocolate",100,550,4.9,60,31,3.1,48,25,"巧克力","甜点","植物性"
"chocolate",150,825,7.35,90,46.5,4.65,72,37.5,"巧克力","甜点","植物性"
"chocolate",200,1100,9.8,120,62,6.2,96,50,"巧克力","甜点","植物性"
"egg",50,72,6.3,0.4,5,0,0.4,71,"鸡蛋","肉类","动物性"
"egg",100,144,12.6,0.8,10,0,0.8,142,"鸡蛋","肉类","动物性"
"egg",150,216,18.9,1.2,15,0,1.2,213,"鸡蛋","肉类","动物性"
"french_fries",100,312,3.4,41,16,3.8,0.3,210,"薯条","快餐","植物性"
"french_fries",150,468,5.1,61.5,24,5.7,0.45,315,"薯条","快餐","植物性"
"french_fries",200,624,6.8,82,32,7.6,0.6,420,"薯条","快餐","植物性"
